user_id,ad_click,article_click,banner_click,banner_video_ad_click,banner_video_click,choice_card_click,clicked_whiteboard_proceed,complete_scheme_profile_click,contact_now_click,jobs_card_click,jobs_options_click,location_details_screen_proceed_click,logout_click,notification_click,scheme_category_click,scheme_click,service_options_click,sub_service_card_click,sub_service_click,verify_otp_click,view_modify_click,article_view,enquiry_successfully,choice_submit_success,engagement_time_msec
184259,0,10,39,0,1,22,1,0,0,21,9,8,35,3,9,9,79,0,50,41,203,24,0,9,48117914
193501,0,0,0,0,0,95,0,0,0,0,1,13,0,1,1,0,5,0,5,99,59,0,0,24,41988624
217938,0,5,1,0,1,0,1,0,0,4,30,0,1,1,5,1,28,0,1,2,12,62,0,0,35735561
203767,0,24,5,0,3,0,0,0,0,12,2,2,2,1,0,0,7,0,2,2,25,7,0,0,31305095
197332,0,1,1,0,9,37,80,0,0,40,16,11,0,80,14,11,19,1,12,0,40,15,0,26,20897087
188913,0,0,0,0,0,40,134,6,0,0,0,1,0,161,8,2,7,0,4,1,3,0,4,16,19048320
201166,0,0,0,0,5,2,1,0,0,8,5,1,2,1,2,1,7,0,4,1,15,0,3,0,18300506
210319,0,0,0,0,0,42,31,0,0,0,0,2,1,103,0,0,1,0,0,1,69,44,0,22,15912145
188557,0,6,0,22,0,24,2,1,0,0,11,1,0,15,6,11,7,0,9,0,4,0,0,2,15875558
200051,0,0,0,0,0,0,0,1,0,0,2,5,0,1,5,3,9,2,14,0,8,13,0,0,15811550
205143,0,1,2,0,2,14,67,0,0,60,7,1,0,73,7,58,6,0,2,0,34,39,46,12,15199603
222154,0,0,0,0,0,28,7,0,1,1,1,2,2,10,1,1,1,0,1,4,14,14,4,9,14619167
206335,0,0,0,0,0,31,70,0,0,1,1,1,3,100,3,1,3,0,2,3,19,23,0,22,14130212
198913,0,6,0,0,0,16,9,0,0,0,15,0,0,13,2,7,15,0,7,0,5,3,0,12,13064489
183964,0,0,0,1,2,14,1,2,0,0,10,0,0,0,8,15,4,0,1,0,3,0,1,10,12800034
188082,0,3,0,1,0,21,28,2,0,0,0,0,0,41,3,4,4,0,4,0,2,0,0,13,12793302
196542,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,16,12670730
185314,0,2,0,1,1,24,5,0,0,1,11,3,13,7,5,8,0,0,0,19,27,0,0,18,12547608
202164,0,0,0,0,1,22,0,0,0,0,0,1,0,1,0,0,0,0,0,1,21,0,0,12,12054770
185776,0,1,0,2,3,19,3,0,0,0,0,3,20,4,0,0,2,0,0,43,32,0,0,1,11930516
213867,0,2,0,0,0,22,17,0,0,0,4,0,0,21,4,8,8,0,5,0,7,40,0,12,11739265
198372,0,1,0,2,3,74,6,0,0,0,1,3,1,7,1,0,7,0,0,0,33,2,0,15,11283077
185774,0,6,0,0,0,29,29,0,0,4,11,4,0,28,1,0,5,0,2,0,19,31,0,17,11181321
209224,0,0,0,0,0,24,33,0,0,0,7,2,0,45,2,2,3,0,2,0,13,47,0,16,11171443
201136,0,0,0,1,0,19,3,0,0,5,4,1,2,3,0,0,2,0,0,6,11,0,0,13,10940171
201610,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10799571
198396,0,5,0,0,0,33,1,0,0,0,1,1,0,0,2,0,0,0,0,0,9,0,0,13,10691512
185881,0,0,0,0,0,26,37,0,0,1,6,0,9,41,0,0,0,0,0,10,7,2,0,15,10360729
201668,0,2,0,0,0,18,5,0,0,1,9,0,2,4,1,0,3,0,0,9,1,17,0,9,10305935
208795,0,1,6,0,1,15,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,63,0,11,10267353
201823,0,0,0,0,0,19,9,0,0,3,1,1,1,71,0,0,6,0,2,0,21,0,0,11,10199845
200698,0,0,0,0,0,32,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,15,10127010
219044,0,1,1,0,0,17,1,0,0,3,13,0,0,0,4,1,8,4,13,0,0,59,0,8,10116525
197827,0,6,0,13,7,1,8,1,0,47,9,1,0,81,5,5,19,3,17,12,8,0,0,0,10085169
188197,0,1,17,0,0,19,11,0,0,9,25,2,13,12,3,1,8,0,6,12,33,79,0,10,10052114
206570,0,2,0,0,0,17,19,0,0,0,2,1,5,20,2,1,7,0,0,8,38,43,0,11,10037998
203328,0,1,0,0,0,15,1,0,0,0,3,1,0,1,3,4,2,0,0,0,25,0,5,12,10001462
190008,0,1,0,0,0,19,5,1,0,0,9,2,0,8,6,7,6,0,8,0,16,0,0,12,9786861
194566,0,1,0,0,0,25,14,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,1,15,9743268
190032,0,1,0,0,0,14,0,0,0,0,2,2,1,2,2,4,6,0,2,1,18,0,2,11,9580025
186367,0,19,0,0,0,7,1,1,0,0,2,1,0,0,1,0,5,0,1,0,2,6,14,6,9032419
205196,0,0,0,0,0,18,0,0,0,33,2,19,0,0,0,0,6,0,1,2,50,8,24,13,9001845
203804,0,0,0,0,0,17,0,0,0,1,3,3,0,1,2,1,1,0,3,0,22,2,0,12,8955571
205994,0,3,0,0,0,16,5,1,0,6,5,0,0,10,0,0,4,2,2,0,9,0,0,15,8704622
205527,0,0,0,0,0,15,2,0,0,0,1,1,0,3,0,0,0,0,0,1,22,5,0,10,8619020
196788,0,0,0,0,0,33,3,0,0,1,2,0,0,7,1,0,0,0,0,0,10,0,0,13,8563446
187513,0,0,0,0,0,17,10,0,0,0,6,1,0,21,4,1,4,0,4,0,21,3,0,16,8534833
187656,0,2,0,0,1,23,1,0,0,0,16,0,0,1,2,7,3,0,5,0,3,0,0,12,8532323
193666,0,6,2,7,36,0,0,0,1,33,16,1,0,0,1,0,18,0,1,0,8,39,0,0,8524605
186414,0,3,0,0,0,20,24,1,0,1,7,1,0,37,5,10,2,0,0,3,4,0,5,7,8374030
208998,0,0,2,0,0,11,3,0,0,5,4,1,14,5,1,0,10,0,1,20,21,77,0,7,8360289
197754,0,0,0,0,0,35,0,0,0,2,2,2,0,0,1,0,2,0,0,0,33,0,0,13,8230978
193941,0,0,0,0,0,18,1,0,0,0,0,1,0,0,1,3,1,0,0,0,13,0,0,15,7965089
211310,0,2,6,0,0,11,28,1,0,1,16,1,0,37,2,0,6,0,3,0,9,64,0,10,7923590
221310,0,0,0,0,0,15,3,0,0,0,1,0,0,4,3,2,0,0,0,0,22,35,0,11,7758378
207819,0,0,0,0,0,13,0,0,0,0,1,1,0,0,0,0,2,0,9,0,0,28,0,8,7729737
185403,0,2,0,0,0,15,7,0,0,0,6,2,16,7,3,1,6,0,8,15,23,0,0,15,7693703
220056,0,2,1,0,0,22,18,1,0,0,0,0,1,16,0,0,7,0,2,4,8,82,0,13,7594246
187171,0,1,0,0,0,13,1,0,0,0,0,25,0,1,0,0,0,0,0,3,14,0,0,4,7532975
213308,0,0,1,0,0,27,11,2,2,7,8,1,0,13,3,8,3,1,5,2,2,14,2,12,7530897
208883,0,0,1,0,0,18,3,0,1,4,1,9,9,3,2,2,7,0,7,13,19,46,0,12,7494253
208980,0,1,1,0,0,19,3,0,0,0,4,1,0,1,0,0,12,0,6,1,15,55,0,12,7298318
223174,0,3,1,0,0,12,0,0,0,0,7,0,0,0,1,1,3,0,3,0,13,32,0,9,7284051
190440,0,1,0,0,0,22,3,0,0,0,0,2,0,4,2,1,6,0,0,2,16,0,0,13,7259409
210666,0,2,5,1,0,9,33,0,0,0,3,0,0,35,0,0,2,0,0,0,7,69,0,6,7240815
185355,0,0,0,0,0,34,0,0,0,0,0,1,4,0,0,0,0,0,0,6,1,0,0,16,7229200
211704,0,4,4,0,0,21,27,0,0,15,22,0,1,55,10,4,11,0,8,1,17,75,2,13,7126317
208959,0,0,2,0,0,13,0,0,0,1,1,1,0,0,2,2,3,0,1,0,13,66,5,10,7112017
211674,0,1,3,0,0,14,1,0,0,0,2,1,1,0,3,3,1,0,0,3,8,57,0,10,7103351
205188,0,0,0,0,0,28,2,0,0,0,0,1,0,2,1,0,1,0,1,2,17,0,0,10,7066406
185201,0,7,0,0,4,14,0,0,0,1,7,0,0,0,2,1,13,0,7,0,1,0,0,10,7063940
208888,0,1,2,0,0,17,9,1,0,2,3,0,0,18,3,2,3,0,0,0,12,43,3,10,7055481
222168,0,1,6,0,0,13,0,2,0,2,11,0,0,3,5,13,5,0,2,0,3,51,3,10,7049215
210044,0,0,0,0,0,28,11,0,0,0,1,0,0,11,1,1,3,0,2,0,4,53,0,14,7008410
220524,0,1,0,0,0,2,3,0,0,2,32,2,0,3,3,0,8,0,2,0,46,39,0,0,6818166
186402,0,0,0,0,0,28,3,0,0,1,12,2,1,0,5,2,3,0,4,0,5,0,0,15,6793857
190778,0,2,0,0,0,22,19,1,0,1,9,0,1,21,5,3,1,0,0,1,1,0,0,15,6743156
210591,0,1,1,0,0,3,0,0,0,44,22,0,0,0,1,3,28,5,22,0,0,55,3,2,6711826
190422,0,0,0,0,0,20,6,0,0,0,0,5,0,7,1,0,0,0,0,0,71,0,0,11,6676617
196637,0,0,0,0,0,0,5,2,0,0,8,0,2,5,3,2,4,0,1,1,8,0,1,0,6641932
219440,0,2,1,0,0,4,4,1,0,2,15,8,0,2,4,4,14,0,9,0,6,22,0,0,6512581
200147,0,0,0,0,0,32,1,0,0,2,3,4,1,1,2,1,0,0,0,1,5,0,0,11,6451474
196564,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,8,6450755
216035,0,0,1,0,0,15,28,0,0,0,5,0,0,27,0,0,3,0,0,0,0,21,0,11,6425184
192781,0,0,0,0,0,17,2,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,4,13,6419932
201871,0,2,0,0,0,1,0,0,0,29,55,0,0,2,4,17,15,0,29,0,1,0,2,1,6418542
208132,0,4,0,0,0,33,22,0,0,2,2,5,0,34,1,1,2,0,1,12,51,9,0,15,6406303
208341,0,2,0,0,6,0,1,0,1,8,7,4,0,0,4,2,7,0,4,0,13,69,0,0,6388561
200966,0,3,0,0,0,32,24,0,0,0,0,1,0,29,1,1,0,0,0,0,13,0,0,16,6384504
211977,0,1,0,0,0,11,15,0,0,2,28,1,0,17,1,1,15,0,14,0,13,32,0,10,6377608
194179,0,0,0,0,0,18,0,0,0,0,3,1,0,0,6,17,1,0,0,0,2,0,4,11,6344906
206211,0,1,0,0,0,11,3,0,0,0,2,2,0,3,0,0,11,0,2,0,10,0,0,11,6341152
197811,0,0,0,0,1,0,1,0,0,2,4,1,1,0,1,0,4,0,3,0,1,20,0,0,6325432
184841,0,2,0,0,3,3,1,0,0,12,23,2,0,1,23,8,7,0,0,0,15,0,0,0,6309145
206929,0,8,2,0,0,18,0,0,0,0,1,0,0,4,3,3,1,2,2,0,2,19,0,11,6286495
215063,0,0,1,0,0,15,2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,16,0,10,6254390
187215,0,0,0,0,0,23,5,0,0,0,0,0,1,7,2,1,1,0,1,1,4,0,0,16,6252778
222389,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,9,6177838
204973,0,0,0,0,0,15,0,1,0,186,13,2,0,1,4,5,3,0,1,0,21,0,0,6,6168973
196563,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,6,0,0,0,5,7,0,11,6163829
191304,0,0,0,0,1,18,0,0,0,0,0,6,0,0,0,0,1,0,0,0,10,0,0,14,6125948
200494,0,7,0,0,5,1,1,1,0,14,12,0,1,2,3,18,4,0,1,1,0,0,1,0,6124703
191717,0,0,0,0,0,15,2,0,0,0,2,1,1,2,1,0,4,0,0,2,10,0,0,11,6063173
213655,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,16,0,0,6036060
187272,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,10,1,0,0,0,0,0,5,0,6011198
184618,0,7,0,0,0,4,4,0,1,2,47,2,0,3,4,6,5,0,4,0,9,0,0,1,6000549
206258,0,2,0,0,0,4,20,1,0,2,7,2,0,62,4,3,8,0,2,0,11,11,5,1,5973039
213134,0,0,2,0,0,22,5,0,0,2,3,1,0,10,4,2,2,0,0,0,10,57,0,13,5933251
211527,0,1,2,0,0,21,44,0,0,0,0,1,0,57,2,2,0,0,0,0,15,27,0,15,5924900
200938,0,1,0,0,0,16,1,0,0,0,0,1,2,2,2,0,2,0,0,1,15,0,0,13,5842738
