Scheme Number,Scheme Name,Category,Who Can Apply,Land Requirement,Income / Other Conditions,Key Benefit,Official Portal
1,PM Kisan Samman Nidhi (PM-KISAN),Income Support,All landholding farmer families in India,Must own cultivable land in their name,Not a govt employee. Not an income tax payer. Not a pensioner above Rs 10000 per month,Rs 6000 per year paid in 3 instalments of Rs 2000 each directly to bank account,pmkisan.gov.in
2,PM Kisan Maan-Dhan Yojana (PM-KMY),Pension,Small and marginal farmers aged 18 to 40 years,Landholding up to 2 hectares,Not a beneficiary of NPS or ESIC or EPFO. Not an income tax payer,Rs 3000 per month pension after age 60. Farmer contributes Rs 55 to Rs 200 per month based on age of entry,maandhan.in
3,Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop Insurance,All farmers growing notified crops in notified areas,Must have sown notified crop in notified area,Loanee farmers enrolled automatically. Non-loanee must apply voluntarily,Crop insurance cover for loss due to natural calamity pest or disease. Premium only 2% for Kharif 1.5% for Rabi 5% for horticulture. Govt pays remaining premium,pmfby.gov.in
4,Restructured Weather Based Crop Insurance Scheme (RWBCIS),Crop Insurance,Farmers growing notified crops in notified areas of participating states,Must grow notified crop,Available in states that opt for it. Triggered by weather data not crop cutting,Insurance payout triggered by weather data like rainfall temperature frost. Same low premium as PMFBY,pmfby.gov.in
5,Kisan Credit Card (KCC),Credit,All farmers including fishers and animal husbandry farmers,No minimum land requirement for fishers and livestock farmers,Should be engaged in cultivation or allied activities,Short-term crop loan up to Rs 3 lakh at 4% effective interest rate per year after interest subvention,pmkisan.gov.in/kcc.aspx
6,Modified Interest Subvention Scheme (MISS),Credit,Farmers with crop loans up to Rs 3 lakh,No specific land condition,Must repay on time to get additional 3% subvention making it 4% effective rate,Crop loans at 7% with 3% subvention making effective rate 4%. Additional 3% for prompt repayment making it 4% effective,nabard.org
7,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Irrigation,All farmers across India who wish to adopt micro-irrigation,No minimum land size,Applicable to all farm categories especially small and marginal,Subsidy on drip and sprinkler irrigation systems. 55% subsidy for general farmers. Additional top-up available via NABARD fund,pmksy.gov.in
8,Per Drop More Crop (PDMC),Irrigation,All farmers adopting drip or sprinkler systems,Any landholding size,Farmers in notified areas get higher subsidy. SC ST and women farmers get additional subsidy,50 to 90% subsidy on micro-irrigation equipment. Promotes water-use efficiency in farming,pmksy.gov.in
9,Sub-Mission on Agricultural Mechanization (SMAM),Farm Mechanization,Small and marginal farmers. SC ST farmers. Women farmers. Cooperatives and FPOs,Priority to small and marginal farmers with less than 2 hectares,Financial ceiling per beneficiary varies by state and machine type,40 to 80% subsidy on purchase of tractors power tillers threshers harvesters and other farm equipment,agrimachinery.nic.in
10,Soil Health Card Scheme,Soil and Fertilizer,All farmers across India without exception,No land condition,Any farmer can get soil tested regardless of farm size or category,Free soil testing and health card issued every 2 years. Card shows nutrient status and crop-wise fertilizer recommendation,soilhealth.dac.gov.in
11,National Agriculture Market (e-NAM),Market Access,Any farmer registered in an e-NAM linked APMC mandi,No land condition,Farmer must register at local APMC mandi linked to e-NAM. Over 1200 mandis connected across 18 states,Online trading of agri produce. Better price discovery. Multiple buyers bid. Funds transferred directly to bank account. Free registration,enam.gov.in
12,Paramparagat Krishi Vikas Yojana (PKVY),Organic Farming,Farmer clusters of minimum 50 farmers covering minimum 50 acres,Group of farmers must collectively have 50 acres,Must form cluster and get PGS organic certification over 3 years,Rs 50000 per hectare financial assistance over 3 years for organic inputs seed procurement packaging and marketing,pgsindia-ncof.gov.in
13,Rashtriya Krishi Vikas Yojana (RKVY),Infrastructure,Farmers through state agriculture departments and project mode,Varies by state and project,State governments design projects. Farmers benefit through subsidies training and infrastructure,Additional central funds to states for agriculture infrastructure. Flexible use for new schemes and pilot projects,rkvy.nic.in
14,National Food Security Mission (NFSM),Crop Productivity,Farmers growing rice wheat pulses coarse cereals and nutri-cereals,Any land size but focus on low productivity districts,Applicable in identified low-productivity districts across 28 states,Subsidised inputs like seeds fertilizers micronutrients farm machinery and training to boost production of food crops,nfsm.gov.in
15,Agriculture Infrastructure Fund (AIF),Post-Harvest Infrastructure,Farmers FPOs cooperatives PACS SHGs entrepreneurs agri-startups,No specific land requirement for individuals,Loan up to Rs 2 crore per project. Multiple projects allowed subject to cap,3% interest subvention on loans for building warehouses cold storage sorting grading units and primary processing facilities,agriinfra.dac.gov.in
16,PM KUSUM Yojana (Kisan Urja Suraksha evam Utthan Mahabhiyan),Solar Energy,All farmers in India especially those with diesel pumps or no electricity connection,Any land size with irrigation need,Priority to farmers in regions with poor grid supply,60% central subsidy on solar pumps. In some states total subsidy reaches 90%. Reduces irrigation cost significantly,pmkusum.mnre.gov.in
17,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Fisheries,Fishermen fish farmers fish vendors SHGs FPOs cooperatives,No specific land requirement. Need fishery infrastructure like pond or cage,SC ST women and differently-abled get higher subsidy of 60%. General category gets 40%,40 to 60% subsidy for fish ponds hatcheries aquaculture units boats fishing equipment cold chain,dof.gov.in
18,National Livestock Mission (NLM),Animal Husbandry,Farmers engaged in poultry sheep goat pig or fodder cultivation. Entrepreneurs and FPOs,No land requirement for animal husbandry,SC ST and women get higher subsidy. Must not be a defaulter with any bank,50% capital subsidy for setting up poultry units goat rearing pig farms and fodder blocks. NABARD credit linked,nlm.udyamimitra.in
