cohort_id,cohort_type,cohort_name,behaviour_code,behaviour_label,domain_code,domain_label,life_context_code,life_context_label,hpns_bucket,notification_angle,eligibility_relevant,trigger_condition,approach_notes,source_fields_used,refresh_frequency
B1-D1-LC1,Combinatorial,Farm & Land-Based Passive Browser — Health Need,B1,Content Reader,D1,Health,LC1,Farm & Land-Based,H4,"Preventive-wellness awareness content, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D1-LC2,Combinatorial,Home & Family-Based Passive Browser — Health Need,B1,Content Reader,D1,Health,LC2,Home & Family-Based,H4,"Preventive-wellness awareness content, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D1-LC3,Combinatorial,Employed & Working Passive Browser — Health Need,B1,Content Reader,D1,Health,LC3,Employed & Working,H4,"Preventive-wellness awareness content, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D1-LC4,Combinatorial,Youth & Job-Seeking Passive Browser — Health Need,B1,Content Reader,D1,Health,LC4,Youth & Job-Seeking,H4,"Preventive-wellness awareness content, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D2-LC1,Combinatorial,Farm & Land-Based Passive Browser — Skills Need,B1,Content Reader,D2,Skills,LC1,Farm & Land-Based,S2,"Skill-building tips and awareness content, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D2-LC2,Combinatorial,Home & Family-Based Passive Browser — Skills Need,B1,Content Reader,D2,Skills,LC2,Home & Family-Based,S2,"Skill-building tips and awareness content, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D2-LC3,Combinatorial,Employed & Working Passive Browser — Skills Need,B1,Content Reader,D2,Skills,LC3,Employed & Working,S2,"Skill-building tips and awareness content, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D2-LC4,Combinatorial,Youth & Job-Seeking Passive Browser — Skills Need,B1,Content Reader,D2,Skills,LC4,Youth & Job-Seeking,S2,"Skill-building tips and awareness content, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D3-LC1,Combinatorial,Farm & Land-Based Passive Browser — Agriculture Need,B1,Content Reader,D3,Agriculture,LC1,Farm & Land-Based,A7,"Crop advisory tips and seasonal awareness content, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D3-LC2,Combinatorial,Home & Family-Based Passive Browser — Agriculture Need,B1,Content Reader,D3,Agriculture,LC2,Home & Family-Based,A7,"Crop advisory tips and seasonal awareness content, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
